"spkid","full_name","sats","diameter","class","data_arc","first_obs","last_obs","e","a","i","per_y","condition_code"
1000036,"    1P/Halley",0,11.0,HTC,57852,1835-08-21,1994-01-11,0.9679,17.93,162.19,75.9,0
1000025,"    2P/Encke",0,4.8,ETc,2546,2018-11-05,2025-10-25,0.8477,2.22,11.41,3.31,1
1000504,"    3D/Biela",0,,JFc,,,,0.7513,3.535,13.22,6.65,
1000505,"    5D/Brorsen",0,,JFc,,,,0.8098,3.101,29.38,5.46,
1000069,"    7P/Pons-Winnecke",0,5.2,JFc,38253,1921-04-28,2026-01-20,0.6376,3.419,22.33,6.32,0
1000099,"    8P/Tuttle",0,4.5,JFC,20161,1967-01-07,2022-03-20,0.8198,5.7,54.98,13.6,0
1000068,"   12P/Pons-Brooks",0,,HTC,26285,1953-06-20,2025-06-07,0.9546,17.18,74.19,71.2,0
1000066,"   13P/Olbers",0,,HTC,50377,1887-08-27,2025-07-31,0.9297,16.68,44.62,68.1,0
1000027,"   15P/Finlay",0,,JFc,5058,2008-04-27,2022-03-03,0.7202,3.49,6.80,6.52,0
1000144,"   18D/Perrine-Mrkos",0,,JFc,2584,1961-11-29,1968-12-26,0.6426,3.56,17.76,6.72,1
1000212,"   20D/Westphal",0,,HTC,22321,1852-09-01,1913-10-13,0.9198,15.64,40.89,61.9,0
1000032,"   21P/Giacobini-Zinner",0,2.0,JFc,4922,2011-05-01,2024-10-21,0.7105,3.5,32.00,6.55,0
1000009,"   23P/Brorsen-Metcalf",0,,HTC,51904,1847-08-01,1989-09-09,0.9720,17.07,19.33,70.5,0
1000077,"   24P/Schaumasse",0,2.6,JFc,9314,2000-10-07,2026-04-08,0.7077,4.055,11.50,8.17,0
1000034,"   26P/Grigg-Skjellerup",0,2.6,JFc,6137,2007-12-19,2024-10-07,0.6397,3.024,22.46,5.26,0
1000016,"   27P/Crommelin",0,,HTC,20203,1956-10-03,2012-01-26,0.9193,9.093,29.22,27.4,0
1000284,"   34D/Gale",0,,JFc,,1927-??-??,1938-??-??,0.7607,4.944,11.73,11,
1000043,"   35P/Herschel-Rigollet",0,,HTC,,1788-??-??,1940-??-??,0.9740,28.84,64.21,155,
1000100,"   41P/Tuttle-Giacobini-Kresak",0,1.4,JFc,2498,2016-11-10,2023-09-13,0.6613,3.085,9.23,5.42,3
1000045,"   45P/Honda-Mrkos-Pajdusakova",0,1.6,JFc,2067,2016-11-05,2022-07-04,0.8240,3.026,4.25,5.26,1
1000109,"   46P/Wirtanen",0,1.2,JFc,3693,2013-10-30,2023-12-10,0.6588,3.093,11.75,5.44,2
1000095,"   55P/Tempel-Tuttle",0,3.6,HTC,48407,1865-12-22,1998-07-05,0.9056,10.34,162.49,33.2,
1000021,"   66P/du Toit",0,,JFc,16304,1974-03-22,2018-11-10,0.7866,6.023,18.67,14.8,0
1000012,"   67P/Churyumov-Gerasimenko",0,3.4,JFc,5442,2008-06-01,2023-04-26,0.6409,3.462,7.04,6.44,0
1000020,"   72P/Denning-Fujikawa",0,,JFc,16324,1978-10-10,2023-06-20,0.8205,4.347,9.23,9.06,1
1000394,"   73P/Schwassmann-Wachmann 3",0,,JFc,2740,2016-02-13,2023-08-15,0.6857,3.093,11.23,5.44,0
1003777,"   73P/Schwassmann-Wachmann 3-A",0,,JFc,58,1995-12-23,1996-02-19,0.6957,3.067,11.42,5.37,7
1000320,"   73P/Schwassmann-Wachmann 3-B",0,,JFc,3806,1995-12-23,2006-05-25,0.6933,3.062,11.40,5.36,2
1000081,"   73P/Schwassmann-Wachmann 3-C",0,,JFc,5853,1995-12-15,2011-12-24,0.6922,3.063,11.38,5.36,0
1000324,"   73P/Schwassmann-Wachmann 3-E",0,,JFc,4021,1989-12-09,2000-12-12,0.6939,3.062,11.41,5.36,0
1002326,"   73P/Schwassmann-Wachmann 3-G",0,,JFc,72,2006-02-20,2006-05-03,0.6934,3.063,11.39,5.36,5
1002327,"   73P/Schwassmann-Wachmann 3-H",0,,JFc,68,2006-03-04,2006-05-11,0.6936,3.065,11.39,5.37,5
1002336,"   73P/Schwassmann-Wachmann 3-J",0,,JFc,28,2006-03-05,2006-04-02,0.6915,3.044,11.38,5.31,7
1002332,"   73P/Schwassmann-Wachmann 3-K",0,,JFc,47,2006-03-05,2006-04-21,0.6935,3.064,11.39,5.36,6
1002334,"   73P/Schwassmann-Wachmann 3-L",0,,JFc,58,2006-03-05,2006-05-02,0.6947,3.076,11.40,5.4,6
1002331,"   73P/Schwassmann-Wachmann 3-M",0,,JFc,44,2006-03-23,2006-05-06,0.6939,3.068,11.39,5.37,7
1002338,"   73P/Schwassmann-Wachmann 3-N",0,,JFc,41,2006-03-23,2006-05-03,0.6923,3.052,11.38,5.33,6
1002335,"   73P/Schwassmann-Wachmann 3-P",0,,JFc,29,2006-03-23,2006-04-21,0.6956,3.085,11.41,5.42,7
1002333,"   73P/Schwassmann-Wachmann 3-Q",0,,JFc,17,2006-03-23,2006-04-09,0.6986,3.118,11.42,5.51,9
1002339,"   73P/Schwassmann-Wachmann 3-R",0,,JFc,39,2006-03-24,2006-05-02,0.6941,3.07,11.39,5.38,6
1002340,"   73P/Schwassmann-Wachmann 3-S",0,,JFc,1,2006-03-24,2006-03-25,0.6934,3.334,11.05,6.09,9
